

Critical Current 	   22.7 [A] 
Maximum density 	 6.406e+011 [molecules/m3]
Average density at 1.000 [A] in [molecules/m3] 	 H2 :	 2.60e+010, CH4:	 2.73e+010, CO :	 1.39e+008, CO2:	 1.21e+008 
Average density at Ib=0 in [molecules/m3] 	 H2 :	 2.59e+010, CH4:	 2.60e+010, CO :	 1.31e+008, CO2:	 1.16e+008 
Total Length [m] 	  H2 density at zero current [molecules/m3]	 CH4 density at zero current [molecules/m3]	 CO density at zero current [molecules/m3]	 CO2 density at zero current [molecules/m3]	 H2 density at Set Current [molecules/m3]	 CH4 density at Set Current [molecules/m3]	 CO density at Set Current [molecules/m3]	 CO2 density at Set Current [molecules/m3]	
1.136 	 7.6700e+009 	 2.6638e+010 	 5.3917e+007 	 6.7555e+007 	 7.6864e+009 	 2.8037e+010 	 5.4225e+007 	 6.7749e+007
1.145 	 7.6791e+009 	 2.6638e+010 	 5.3917e+007 	 6.7555e+007 	 7.6955e+009 	 2.8036e+010 	 5.4225e+007 	 6.7749e+007
1.155 	 7.6884e+009 	 2.6637e+010 	 5.3917e+007 	 6.7555e+007 	 7.7049e+009 	 2.8035e+010 	 5.4225e+007 	 6.7749e+007
1.164 	 7.6979e+009 	 2.6637e+010 	 5.3917e+007 	 6.7555e+007 	 7.7144e+009 	 2.8035e+010 	 5.4225e+007 	 6.7749e+007
1.173 	 7.7076e+009 	 2.6636e+010 	 5.3917e+007 	 6.7555e+007 	 7.7241e+009 	 2.8034e+010 	 5.4225e+007 	 6.7749e+007
1.183 	 7.7175e+009 	 2.6636e+010 	 5.3917e+007 	 6.7555e+007 	 7.7339e+009 	 2.8033e+010 	 5.4225e+007 	 6.7749e+007
1.192 	 7.7275e+009 	 2.6635e+010 	 5.3917e+007 	 6.7555e+007 	 7.7440e+009 	 2.8032e+010 	 5.4225e+007 	 6.7749e+007
1.201 	 7.7378e+009 	 2.6634e+010 	 5.3917e+007 	 6.7555e+007 	 7.7543e+009 	 2.8031e+010 	 5.4225e+007 	 6.7749e+007
 1.21 	 7.7483e+009 	 2.6634e+010 	 5.3917e+007 	 6.7555e+007 	 7.7648e+009 	 2.8030e+010 	 5.4225e+007 	 6.7749e+007
 1.22 	 7.7590e+009 	 2.6633e+010 	 5.3917e+007 	 6.7555e+007 	 7.7755e+009 	 2.8030e+010 	 5.4225e+007 	 6.7749e+007
1.229 	 7.7699e+009 	 2.6632e+010 	 5.3917e+007 	 6.7555e+007 	 7.7865e+009 	 2.8029e+010 	 5.4225e+007 	 6.7749e+007
1.238 	 7.7810e+009 	 2.6632e+010 	 5.3917e+007 	 6.7555e+007 	 7.7976e+009 	 2.8028e+010 	 5.4225e+007 	 6.7749e+007
1.248 	 7.7924e+009 	 2.6631e+010 	 5.3917e+007 	 6.7555e+007 	 7.8090e+009 	 2.8027e+010 	 5.4225e+007 	 6.7749e+007
1.257 	 7.8039e+009 	 2.6631e+010 	 5.3917e+007 	 6.7555e+007 	 7.8206e+009 	 2.8026e+010 	 5.4225e+007 	 6.7749e+007
1.266 	 7.8157e+009 	 2.6630e+010 	 5.3917e+007 	 6.7555e+007 	 7.8324e+009 	 2.8025e+010 	 5.4225e+007 	 6.7749e+007
1.276 	 7.8278e+009 	 2.6629e+010 	 5.3917e+007 	 6.7555e+007 	 7.8445e+009 	 2.8024e+010 	 5.4225e+007 	 6.7749e+007
1.285 	 7.8401e+009 	 2.6629e+010 	 5.3917e+007 	 6.7555e+007 	 7.8568e+009 	 2.8024e+010 	 5.4225e+007 	 6.7749e+007
1.294 	 7.8526e+009 	 2.6628e+010 	 5.3917e+007 	 6.7555e+007 	 7.8693e+009 	 2.8023e+010 	 5.4225e+007 	 6.7749e+007
1.304 	 7.8654e+009 	 2.6627e+010 	 5.3917e+007 	 6.7555e+007 	 7.8822e+009 	 2.8022e+010 	 5.4225e+007 	 6.7749e+007
1.313 	 7.8784e+009 	 2.6627e+010 	 5.3917e+007 	 6.7555e+007 	 7.8952e+009 	 2.8021e+010 	 5.4225e+007 	 6.7749e+007
1.322 	 7.8917e+009 	 2.6626e+010 	 5.3917e+007 	 6.7555e+007 	 7.9085e+009 	 2.8020e+010 	 5.4225e+007 	 6.7749e+007
