Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
0.0026939,2.69E-06,1.62E+15,0.15557,0.0068313,0.061753,0.025511,0.0053322,0.034605
0.0027782,2.78E-06,1.67E+15,0.15492,0.0067912,0.062819,0.026012,0.0049943,0.033674
0.0028618,2.86E-06,1.72E+15,0.15336,0.0068505,0.064242,0.02563,0.005091,0.033769
0.0029449,2.94E-06,1.77E+15,0.15592,0.0067406,0.063475,0.025612,0.0052821,0.033665
0.0030224,3.02E-06,1.82E+15,0.15519,0.0067854,0.064816,0.025348,0.0052555,0.033389
0.0030998,3.10E-06,1.87E+15,0.15435,0.0066876,0.063975,0.025567,0.0050962,0.033552
0.0031867,3.19E-06,1.92E+15,0.155,0.0064919,0.066476,0.026244,0.0051044,0.033267
0.0032654,3.27E-06,1.97E+15,0.15489,0.0064943,0.065532,0.025823,0.0051141,0.032553
0.0033484,3.35E-06,2.02E+15,0.15407,0.0064878,0.065387,0.024831,0.005005,0.033128
0.0034309,3.43E-06,2.07E+15,0.15451,0.0066484,0.065485,0.025436,0.0050378,0.032435
0.0035137,3.51E-06,2.12E+15,0.15452,0.0064914,0.066097,0.025484,0.0047825,0.032134
0.003595,3.60E-06,2.17E+15,0.15388,0.0064522,0.066809,0.025181,0.0049846,0.031691
0.0036771,3.68E-06,2.22E+15,0.1521,0.0065774,0.066544,0.025037,0.004844,0.031835
0.0037616,3.76E-06,2.27E+15,0.15349,0.0064072,0.06537,0.025512,0.0047673,0.03194
0.0038387,3.84E-06,2.31E+15,0.15199,0.0064322,0.067186,0.025175,0.00496,0.031144
0.0039171,3.92E-06,2.36E+15,0.15199,0.0063357,0.068206,0.025172,0.0046195,0.030811
0.0039981,4.00E-06,2.41E+15,0.15085,0.00609,0.067807,0.024835,0.005023,0.030776
0.0040792,4.08E-06,2.46E+15,0.15207,0.0061582,0.065542,0.024554,0.0048726,0.03096
0.0041516,4.15E-06,2.50E+15,0.15179,0.0062088,0.067105,0.025506,0.0045894,0.030746
0.0042275,4.23E-06,2.55E+15,0.15238,0.0062947,0.067416,0.024531,0.0046573,0.029834
0.0043048,4.30E-06,2.59E+15,0.15134,0.0061403,0.066816,0.025076,0.0046773,0.029921
0.0043773,4.38E-06,2.64E+15,0.15116,0.0063719,0.06642,0.024947,0.0047349,0.03007
0.0044491,4.45E-06,2.68E+15,0.15106,0.0062459,0.066701,0.024887,0.0045189,0.029763
0.0045243,4.52E-06,2.73E+15,0.14947,0.0062347,0.066468,0.02509,0.004409,0.029954
0.0046017,4.60E-06,2.77E+15,0.15,0.0061134,0.067607,0.025165,0.0045032,0.029364
0.0046785,4.68E-06,2.82E+15,0.14951,0.0060683,0.066504,0.024949,0.0043714,0.029377
0.0047559,4.76E-06,2.87E+15,0.14951,0.0061822,0.066818,0.025155,0.0045129,0.028913
0.0048303,4.83E-06,2.91E+15,0.14908,0.0059437,0.065678,0.025451,0.0044768,0.029197
0.0049079,4.91E-06,2.96E+15,0.14999,0.0058589,0.065586,0.025484,0.0043235,0.0287
0.0049916,4.99E-06,3.01E+15,0.14859,0.0059636,0.065977,0.02496,0.0045914,0.028897
0.0050686,5.07E-06,3.05E+15,0.14809,0.00595,0.066704,0.024964,0.0043045,0.028219
0.0051541,5.15E-06,3.10E+15,0.14864,0.005794,0.065457,0.024228,0.00431,0.028512
0.0052358,5.24E-06,3.15E+15,0.14782,0.0058547,0.065729,0.025264,0.0043702,0.028147
0.0053082,5.31E-06,3.20E+15,0.14753,0.0058089,0.066428,0.023911,0.0044377,0.028087
0.0053848,5.38E-06,3.24E+15,0.14651,0.0056674,0.066484,0.024622,0.0043109,0.027904
0.0054694,5.47E-06,3.29E+15,0.14764,0.0057568,0.066163,0.024727,0.0041445,0.027512
0.0055528,5.55E-06,3.35E+15,0.14725,0.0058452,0.065775,0.024433,0.0042029,0.027892
0.0056328,5.63E-06,3.39E+15,0.14624,0.005623,0.065569,0.023935,0.0044088,0.02773
0.0057098,5.71E-06,3.44E+15,0.14663,0.0057351,0.065265,0.024371,0.0043918,0.027087
0.0057932,5.79E-06,3.49E+15,0.14552,0.0057315,0.064386,0.024178,0.0042262,0.027306
